generation_order,group,variant_code,output_filename,register_name,siteiq_family,qty,prior_hold_reason,authorisation,art_direction,match_checklist
56,PLANT_AND_TAGGED,BREAKERDRILLMEDIUM240V,BREAKERDRILLMEDIUM240V.jpg,Breaker Drill - Electric – Medium - 5.6kg to 7.5kg,Concrete & Masonry,2,Road 1 real-unit hold,RENDER_FROM_DESCRIPTION,"THE ITEM: Breaker Drill - Electric – Medium - 5.6kg to 7.5kg. The breaker leaning working-tip down, handles toward camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 5.6kg | 7.5kg. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Chisel/point fitted; power type (electric/air) reads correctly ; stamped/labelled sizes readable: 5.6kg, 7.5kg ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
57,PLANT_AND_TAGGED,BREAKERDRILLSMALL240V,BREAKERDRILLSMALL240V.jpg,Breaker Drill - Electric - Small - 0 to 5.5kg,Concrete & Masonry,4,Road 1 real-unit hold,RENDER_FROM_DESCRIPTION,"THE ITEM: Breaker Drill - Electric - Small - 0 to 5.5kg. The breaker leaning working-tip down, handles toward camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 5.5kg. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Chisel/point fitted; power type (electric/air) reads correctly ; stamped/labelled sizes readable: 5.5kg ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
58,PLANT_AND_TAGGED,BREAKERSMALL240V,BREAKERSMALL240V.jpg,Breaker - Electric – Small - 0 to 7.9kg,Concrete & Masonry,2,Road 1 real-unit hold,RENDER_FROM_DESCRIPTION,"THE ITEM: Breaker - Electric – Small - 0 to 7.9kg. The breaker leaning working-tip down, handles toward camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 7.9kg. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Chisel/point fitted; power type (electric/air) reads correctly ; stamped/labelled sizes readable: 7.9kg ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
59,HELD_TOOLING,BULLBAGGRIPPS113KG,BULLBAGGRIPPS113KG.jpg,Bull Bag - Gripps - 113kg,Industrial Tools & Equipment,4,"Second pass: powered, pneumatic, plant, lifting or model-specific equipment",RENDER_FROM_DESCRIPTION,"THE ITEM: Bull Bag - Gripps - 113kg. The lifting bag upright and filled square, lifting loops up. Standing upright on the floor, camera at item height, three-quarter view so two faces show. THE MARKINGS THAT MUST BE READABLE: 113kg. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","All lifting loops visible; rated load tag legible ; stamped/labelled sizes readable: 113kg ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
60,HELD_TOOLING,CABLEHOOKPMAG,CABLEHOOKPMAG.jpg,Cable Hook - Plastic - Magnetic,Tools & Equipment,2,Specialised safety/accessory product shape is not generic,RENDER_FROM_DESCRIPTION,"THE ITEM: Cable Hook - Plastic - Magnetic. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
61,CONSUMABLE,CEME9016-584189,CEME9016-584189.jpg,ABRASIVE - METALCUT ROCOL RTD 500G - K2/26,Consumables,0,IDENTIFIED,RENDER_FROM_DESCRIPTION,"THE ITEM: ABRASIVE - METALCUT ROCOL RTD 500G - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
62,CONSUMABLE,CEME9016-590668,CEME9016-590668.jpg,ABRASIVE DISC - CUTOFF FH38 127 X 2.5 X 22.2 - K2/26,Consumables,7,LIKELY_CONFIRM,RENDER_FROM_DESCRIPTION,"THE ITEM: ABRASIVE DISC - CUTOFF FH38 127 X 2.5 X 22.2 - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
63,CONSUMABLE,CEME9016-590669,CEME9016-590669.jpg,ABRASIVE DISC - GRINDING RAISED HUB A24/30T 127 X 6.8 X 22 - K2/26,Consumables,58,LIKELY_CONFIRM,RENDER_FROM_DESCRIPTION,"THE ITEM: ABRASIVE DISC - GRINDING RAISED HUB A24/30T 127 X 6.8 X 22 - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. THE MARKINGS THAT MUST BE READABLE: 30t. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; stamped/labelled sizes readable: 30t ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
64,CONSUMABLE,CEME9016-590670,CEME9016-590670.jpg,ABRASIVE DISC - GRINDING RAISED HUB A30S 115 X 6 X 22 - K2/26,Consumables,0,LIKELY_CONFIRM,RENDER_FROM_DESCRIPTION,"THE ITEM: ABRASIVE DISC - GRINDING RAISED HUB A30S 115 X 6 X 22 - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
65,CONSUMABLE,CEME9016-590671,CEME9016-590671.jpg,ABSORBENT PAD - OIL 300G 403 X 48CM - K2/26,Consumables,400,AMBIGUOUS,RENDER_FROM_DESCRIPTION,"THE ITEM: ABSORBENT PAD - OIL 300G 403 X 48CM - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
66,CONSUMABLE,CEME9016-590672,CEME9016-590672.jpg,ADHESIVE - HIGH STRENGTH 3M 90 AEROSOL CAN 471G - K2/26,Consumables,2,IDENTIFIED,RENDER_FROM_DESCRIPTION,"THE ITEM: ADHESIVE - HIGH STRENGTH 3M 90 AEROSOL CAN 471G - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. THE MARKINGS THAT MUST BE READABLE: 3m. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; stamped/labelled sizes readable: 3m ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
67,CONSUMABLE,CEME9016-590673,CEME9016-590673.jpg,ANTI-SEIZE - COPPER 1090 DEG C 500G CAN - K2/26,Consumables,0,LIKELY_CONFIRM,RENDER_FROM_DESCRIPTION,"THE ITEM: ANTI-SEIZE - COPPER 1090 DEG C 500G CAN - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
68,CONSUMABLE,CEME9016-590674,CEME9016-590674.jpg,BATTERY - AA 1.5VDC ALKALINE SUPER HEAVY DUTY - K2/26,Consumables,10,AMBIGUOUS,RENDER_FROM_DESCRIPTION,"THE ITEM: BATTERY - AA 1.5VDC ALKALINE SUPER HEAVY DUTY - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
69,CONSUMABLE,CEME9016-590675,CEME9016-590675.jpg,BATTERY - AAA 1.5VDC ALKALINE PROCELL - K2/26,Consumables,0,IDENTIFIED,RENDER_FROM_DESCRIPTION,"THE ITEM: BATTERY - AAA 1.5VDC ALKALINE PROCELL - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
70,CONSUMABLE,CEME9016-590676,CEME9016-590676.jpg,BOTTLE - SPRAY APPLICATOR 500ML - K2/26,Consumables,0,AMBIGUOUS,RENDER_FROM_DESCRIPTION,"THE ITEM: BOTTLE - SPRAY APPLICATOR 500ML - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
71,CONSUMABLE,CEME9016-590677,CEME9016-590677.jpg,BROOM - HEAVY DUTY HAIR/FIBRE 600MM (NO HANDLE) - K2/26,Consumables,23,LIKELY_CONFIRM,RENDER_FROM_DESCRIPTION,"THE ITEM: BROOM - HEAVY DUTY HAIR/FIBRE 600MM (NO HANDLE) - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. THE MARKINGS THAT MUST BE READABLE: 600mm. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; stamped/labelled sizes readable: 600mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
72,CONSUMABLE,CEME9016-590678,CEME9016-590678.jpg,BROOM - HEAVY DUTY HAIR/FIBRE 600MM (NO HANDLE) - K2/26,Consumables,0,LIKELY_CONFIRM,RENDER_FROM_DESCRIPTION,"THE ITEM: BROOM - HEAVY DUTY HAIR/FIBRE 600MM (NO HANDLE) - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. THE MARKINGS THAT MUST BE READABLE: 600mm. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; stamped/labelled sizes readable: 600mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
73,CONSUMABLE,CEME9016-590679,CEME9016-590679.jpg,BUCKET - PLASTIC 9L BLACK WITH HANDLE - K2/26,Consumables,2,AMBIGUOUS,RENDER_FROM_DESCRIPTION,"THE ITEM: BUCKET - PLASTIC 9L BLACK WITH HANDLE - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
74,CONSUMABLE,CEME9016-590680,CEME9016-590680.jpg,BUCKET - UTILITY PLASTIC 10L WHITE (WITH LID) - K2/26,Consumables,76,AMBIGUOUS,RENDER_FROM_DESCRIPTION,"THE ITEM: BUCKET - UTILITY PLASTIC 10L WHITE (WITH LID) - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
75,CONSUMABLE,CEME9016-590681,CEME9016-590681.jpg,BUCKET - UTILITY PLASTIC 20L WHITE (WITH LID) - K2/26,Consumables,9,AMBIGUOUS,RENDER_FROM_DESCRIPTION,"THE ITEM: BUCKET - UTILITY PLASTIC 20L WHITE (WITH LID) - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
76,CONSUMABLE,CEME9016-590682,CEME9016-590682.jpg,CABLE TIE - NYLON UV BLACK 152 X 3.5MM PK100 - K2/26,Consumables,3,IDENTIFIED,RENDER_FROM_DESCRIPTION,"THE ITEM: CABLE TIE - NYLON UV BLACK 152 X 3.5MM PK100 - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. THE MARKINGS THAT MUST BE READABLE: 3.5mm. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; stamped/labelled sizes readable: 3.5mm ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
77,CONSUMABLE,CEME9016-590683,CEME9016-590683.jpg,CLEANER - ELECTRICAL CONTACT CRC CO 2016 350G - K2/26,Consumables,44,IDENTIFIED,RENDER_FROM_DESCRIPTION,"THE ITEM: CLEANER - ELECTRICAL CONTACT CRC CO 2016 350G - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
78,CONSUMABLE,CEME9016-590684,CEME9016-590684.jpg,CLEANER - LENS UVEX 1009 SPRAY PACK 500ML - K2/26,Consumables,2,IDENTIFIED,RENDER_FROM_DESCRIPTION,"THE ITEM: CLEANER - LENS UVEX 1009 SPRAY PACK 500ML - K2/26. The item exactly as handed over the counter - packet, tin, pair or spool - upright, label face square to the camera. Camera straight on at label height, the item turned a few degrees so it still has depth. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Label brand/size legible; quantity form matches how the store issues it (pair/pack/roll/tin) ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
